condition,display_type,hdd_type,os,cpu_line,cpu_cores,cpu_speed,ram_size,ram_type,ram_speed,hdd_size,display_surface,display_resolution,gfx_type,weight,battery_capacity
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i5,2,3.1 GHz,8 GB,DDR4,2133,1128 GB,antyrefleksyjna,1920 x 1080,,2.6 kg,41 Wh
Używany,TN,SSD,Windows 10 Professional,AMD A8,4,3.1 GHz,16 GB,DDR3,,480 GB,matowa,1366 x 768,,,
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,,,512 GB,błyszcząca,1920 x 1080,,1.1 kg,46 Wh
Nowy,TN,HDD,Windows 10 Home,Intel Core i3,2,3.4 GHz,12 GB,DDR4,,1000 GB,matowa,1366 x 768,,2.2 kg,30 Wh
Nowy,,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,,120 GB,matowa,1600 x 900,,,
Używany,TN,SSD,"Windows 7 Professional 64-bit, Windows 10 Home, Windows 10 Professional",Intel Core i5,2,3.3 GHz,8 GB,DDR3,,240 GB,matowa,1366 x 768,Intel HD Graphics 4000,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,1128 GB,błyszcząca,1920 x 1080,NVIDIA GeForce MX150,2.16 kg,55 mAh
Nowy,,SSD,Windows 10 Home,Intel Core i3,2,3.4 GHz,8 GB,DDR4,,256 GB,matowa,1366 x 768,,,
Używany,,SSD,Windows 7 Professional 32-bit,Intel Core i7,2,3.6 GHz,8 GB,DDR3,,128 GB,matowa,1366 x 768,,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,2,3.1 GHz,8 GB,DDR3,1600,128 GB,błyszcząca,2160 x 1440,Intel HD Graphics 620,,
Używany,,SSD,Windows 10 Professional,Intel Core i5,2,,8 GB,DDR3,,180 GB,matowa,1366 x 768,,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.5 GHz,8 GB,DDR4,,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Używany,,SSD,Windows 10 Home,Intel Core i5,2,,8 GB,DDR3,,240 GB,matowa,1366 x 768,,,
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,,4 GB,,,160 GB,matowa,1366 x 768,,,
Nowy,IPS,SSD,Mac OS,Intel Core i7,4,4.5 GHz,16 GB,DDR3L,2133,256 GB,błyszcząca,2560 x 1600,Intel Iris Plus Graphics 655,1.37 kg,58 Wh
Nowy,,HDD,Windows 10 Home,Intel Core i3,2,,4 GB,DDR4,2133,1 GB,matowa,1920 x 1080,,,
Nowy,TN,HDD,Windows 10 Home,Intel Core i3,2,2.7 GHz,8 GB,DDR4,,1000 GB,matowa,1366 x 768,Intel HD Graphics 620,3 kg,40 Wh
Nowy,,HDD,Windows 10 Home,Intel Core i7,2,3.5 GHz,8 GB,DDR4,,2000 GB,matowa,1920 x 1080,NVIDIA GeForce GT 940MX,,
Powystawowy,,SSD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2400,256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,2.56 kg,4240 mAh
Nowy,TN,HDD,Windows 10 Home,Intel Pentium Quad-Core,2,2.1 GHz,4 GB,DDR4,2133,500 GB,błyszcząca,1366 x 768,Intel HD Graphics 510,2.2 kg,
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR3,,256 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,,
Powystawowy,IPS,SSD,Windows 10 Home,Intel Core i7,2,3.5 GHz,16 GB,DDR4,2133,512 GB,błyszcząca,1920 x 1080,NVIDIA GeForce 940MX,2 kg,52.5 Wh
Używany,TN,SSD,"Windows 10 Professional, Windows 7 Professional 64-bit, Windows 10 Home",Intel Core i5,2,3.3 GHz,8 GB,DDR3,,240 GB,matowa,1920 x 1080,Intel HD Graphics 4400,3 kg,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i5,2,3.5 GHz,16 GB,DDR4,2400,512 GB,matowa,1920 x 1080,Intel HD Graphics 620,1.9 kg,51 Wh
Nowy,,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,,512 GB,matowa,1920 x 1080,,,
Nowy,,SSD,Windows 10 Home,Intel Core i3,2,3.4 GHz,8 GB,DDR4,,256 GB,matowa,1920 x 1080,,,
Używany,,Brak,brak systemu,Intel Core i5,2,,4 GB,,,0 GB,matowa,1366 x 768,,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,3.8 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,3.1 kg,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,12 GB,DDR4,2400,1128 GB,antyrefleksyjna,1920 x 1080,NVIDIA GeForce GTX 1050,2.21 kg,70 Wh
Używany,,HDD,Windows 10 Professional,Intel Core i5,2,,4 GB,,,250 GB,matowa,1366 x 768,,,
Nowy,,SSD,Mac OS,Intel Core i5,2,2.9 GHz,8 GB,DDR3,1600,128 GB,błyszcząca,1440 x 900,Intel HD Graphics 6000,1.35 kg,
Używany,TN,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,2.9 GHz,8 GB,DDR3L,,256 GB,matowa,1600 x 900,Intel HD Graphics 5500,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,błyszcząca,1920 x 1080,NVIDIA GeForce GT 940MX,2 kg,3500 mAh
Nowy,TN,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.4 GHz,16 GB,DDR4,2400,2256 GB,matowa,1920 x 1080,,2.18 kg,42 Wh
Nowy,,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2133,256 GB,matowa,1920 x 1080,Intel HD Graphics 620,1.27 kg,4335 mAh
Używany,TN,HDD,brak systemu,Intel Core 2 Duo,2,1.6 GHz,4 GB,DDR2,,160 GB,matowa,Inna,,,
Nowy,,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.7 GHz,4 GB,DDR4,2133,1000 GB,matowa,1920 x 1080,,1.92 kg,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,2,,8 GB,DDR4,2133,128 GB,matowa,1920 x 1080,,2.2 kg,
Nowy,IPS,SSD,Mac OS,Intel Core i9,6,4.8 GHz,32 GB,DDR4,2400,1000 GB,błyszcząca,2880 x 1800,AMD Radeon Pro 560X,1.83 kg,83.6 Wh
Po zwrocie,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,,512 GB,błyszcząca,1920 x 1080,,,
Powystawowy,TN,HDD,inny,Intel Core i5,2,,8 GB,DDR3,,320 GB,matowa,1600 x 900,,2.5 kg,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i3,2,3.4 GHz,8 GB,DDR4,2400,740 GB,matowa,1920 x 1080,,2.79 kg,3220 mAh
Powystawowy,,HDD,Windows 10 Home,Intel Core i3,2,,4 GB,DDR4,2133,500 GB,matowa,1366 x 768,Intel HD Graphics 520,1.55 kg,
Nowy,TN,SSD,Windows 10 Home,Intel Core i3,2,2 GHz,8 GB,DDR4,2133,240 GB,matowa,1920 x 1080,Intel HD Graphics 520,1.93 kg,3070 mAh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.6 GHz,8 GB,DDR3L,1600,256 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,4,4.2 GHz,32 GB,DDR4,2400,256 GB,matowa,1920 x 1080,Intel HD Graphics 620,1.4 kg,60 Wh
Używany,,SSD,Windows 10 Home,Intel Core i5,2,,8 GB,DDR3,,120 GB,matowa,1366 x 768,,3 kg,
Nowy,TN,SSD,Windows 10 Professional,Intel Core i7,2,3.5 GHz,8 GB,DDR4,2133,256 GB,matowa,1920 x 1080,AMD Radeon R5 M420,2.3 kg,2700 mAh
Używany,TN,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,3 GHz,8 GB,DDR3L,,128 GB,matowa,1366 x 768,Intel HD Graphics 4400,1.4 kg,
Powystawowy,TN,HDD,"Windows 7 Home 64-bit, inny, Windows 7 Professional 64-bit",Intel Core i3,2,,8 GB,DDR3,,320 GB,matowa,1366 x 768,Intel HD Graphics 3000,1.8 kg,
